PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Kinetic Aqueous Solubility (ug/mL),Analysis Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Indicates type of activity observed: 0-10: Low Solubility  >10: Moderate/High Solubility,Numerical value of the observed aqueous solubility.,Annotation/notes on a particular compound's data or its analysis as described in the published paper.
457,160844098,70701421,C1CNCCC1C2=CC=C(C=C2)NS(=O)(=O)C3=CC=C(C=C3)NCC4=C(C(=CC=C4)Cl)O,Active,47,,,Moderate/High,47.23,class = 0
458,160844049,70701407,C1=CC(=C(C(=C1)N)O)CNC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,Active,47,,,Moderate/High,47.17,class = 0
459,49717344,4651694,C1CC1NC(=O)C2=CC=C(O2)CSCC3=CC=CC=C3Cl,Active,47,,,Moderate/High,>47,class = 0
460,4239807,3234914,CS(=O)(=O)NC1=CC=CC(=C1)C2=NC=CC(=N2)N3C=CN=C3,Active,47,,,Moderate/High,>47,class = 0
461,3712251,2355490,C1=COC(=C1)CNC(=O)COC(=O)CCC(=O)C2=CC=CS2,Active,47,,,Moderate/High,>47,class = 0
462,4249877,3243760,CC1=CC(=CC=C1)N2C=NC3=C2C=CC(=C3)C(=O)N4CCCCC4,Active,47,,,Moderate/High,>47,class = 0
463,24398802,15999416,COC1=CC(=C(C=C1)OC)NC2=C3CCCC3=NC4=CC=CC=C42,Active,47,,,Moderate/High,>47,class = 0
464,99367894,46907717,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=CC=C3Cl,Active,47,,,Moderate/High,>47,class = 0
465,87677815,44144332,COC1=CC=C(C=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,Active,47,,,Moderate/High,>47,class = 0
466,99367908,46907716,COC1=CC=CC(=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,Active,47,,,Moderate/High,>47,class = 0
467,90419362,44887534,C1CCC(CC1)C(=O)NCCC2=NC3=CC=CC=C3N2CCO,Active,47,,,Moderate/High,>47,class = 0
468,363677295,2826191,C1=CC=C(C=C1)C2=CC=C(C=C2)NC(=O)C3=CC=CC=C3C(=O)O,Active,47,,,Moderate/High,>47,class = 0
469,384568861,24905142,C1CCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CN=C5C(=C4)C=CN5)N,Active,47,,,Moderate/High,>47,class = 0
470,363678074,76168,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3Cl,Active,47,,,Moderate/High,>47,class = 0
471,375890128,134810595,C1CN(CC2=C1C(=O)N(N2CC3=CN=CC=C3)CCC4=CC=CC=C4)C(=O)C5=CC6=CC=CC=C6N5,Active,47,,,Moderate/High,>47,class = 0
472,375890192,134810659,C1=CC=C(C=C1)C2=CN3C(=CN=C3C4=CC=C(C=C4)C(=O)O)C=N2,Active,47,,,Moderate/High,>47,class = 0
473,174006405,44573504,CC(C)(CN1C2=C(C=C(C=C2)CN3CCOCC3)N=C1NC(=O)C4=CC=C(S4)C5=CNN=C5)O,Active,47,,,Moderate/High,46.98,class = 0
474,124953206,234846,CC1C2CN3CCC4=C(C3CC2C(=CO1)C(=O)OC)NC5=CC(=C(C=C45)OC)OC,Active,47,,,Moderate/High,46.88,class = 0
475,377662364,17537846,C1CCN(CC1)CC2=CC=C(C=C2)C(=O)NCC3=CC(=CC=C3)C(F)(F)F,Active,47,,,Moderate/High,46.61,class = 0
476,363678083,58496428,CN1C(=O)C=C2C(=C1C3=CC(=CC=C3)N(C)C)C(=O)N(N2)C4=CC=CC=C4Cl,Active,47,,,Moderate/High,46.53,class = 0
477,161004122,70789549,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=CC=CC4=CC=CC=C43,Active,46,,,Moderate/High,46.37,class = 0
478,375808579,40780407,CC1=C(C(=NN1C2=CC=C(C=C2)OC)C)[C@H]3C[C@@H](C=C3)NCC4=CC(=CC=C4)Cl,Active,46,,,Moderate/High,46.19,class = 0
479,160844024,70701377,C1=CC(=C(C(=C1)Cl)O)CNC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,Active,46,,,Moderate/High,46.13,class = 0
480,14729678,3490047,CC(=O)NC(C(Cl)(Cl)Cl)SC(=S)N(C)C,Active,46,,,Moderate/High,>46,class = 0
481,24807327,15740787,C[N+]1=C2N(C3=CC=CC=C31)N=C(CS2)C4=CC=C(C=C4)OC.[Br-],Active,46,,,Moderate/High,>46,class = 0
482,387059823,3246218,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@H]([C@H]([C@@H](O3)CO)O)O)NCCO,Active,46,,,Moderate/High,>46,class = 0
483,4264276,1245328,C1CCN(C1)C(=O)C2=CC=C(C=C2)NC(=O)C3=CC=CC=C3F,Active,46,,,Moderate/High,>46,class = 0
484,144205245,2118,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,Active,46,,,Moderate/High,>46,class = 0
485,377020183,25169383,C1CNCC1NC2=CC=CC(=N2)C3=CN=C4N3C=C(C=C4)Cl,Active,46,,,Moderate/High,>46,class = 0
486,170465287,64722,CN1CCCC(C1)CC2C3=CC=CC=C3SC4=CC=CC=C24.Cl,Active,46,,,Moderate/High,>46,class = 0
487,363680986,90407809,CN1C=NC(=C1C2=CC=C(C=C2)OC)C3=NC=CC(=C3)C(=O)O,Active,46,,,Moderate/High,>46,class = 0
488,136920225,57377246,CN1C2=C(C=CC(=C2)C(=O)NCCC3=CC=CS3)[S@@](=O)C4=CC=CC=C4C1=O,Active,46,,,Moderate/High,45.85,class = 0
489,161004143,70789556,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=C(C=C4)F,Active,46,,,Moderate/High,45.77,class = 0
490,160844051,70701386,C1=CC(=CC=C1NCC2=C(C=C(C=C2)N)O)[S+](=O)(NC3=NC=CS3)[O-],Active,46,,,Moderate/High,45.71,class = 0
491,384568625,5330790,C1=CC(=C(C(=C1)F)C(=O)N2C(=NC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N)N)F,Active,46,,,Moderate/High,45.58,class = 0
492,160844027,1079730,COC1=CC(=C(C=C1)CNC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3)O,Active,45,,,Moderate/High,45.44,class = 0
493,375885513,134805981,COC1=CC=C(C=C1)CN2CCNC3=CC(=NC=C3C2)NC4=CC=CC=C4,Active,45,,,Moderate/High,45.38,class = 0
494,375889125,134809592,C1CN(CC2=CN=C(C=C2N1)NC3=CC=CC=C3)CC4=CC(=C(C=C4)F)F,Active,45,,,Moderate/High,45.34,class = 0
495,162211011,71307813,CC1=CC(=CC=C1)N2C=NC3=C2C=CC(=C3)C(=O)N4CCCC(C4)C(F)(F)F,Active,45,,,Moderate/High,45.33,class = 0
496,375814487,134790239,C1COCCN1C(=O)C2=NC(=C3N2C=CC=C3)C4=CN=CC=C4,Active,45,,,Moderate/High,45.25,class = 0
497,137275924,45279469,CC1=C(C=C(C=C1)C(=O)N)NC2=NC=CC(=N2)C3=CN(C4=C3C=CN=C4)C(C)C,Active,45,,,Moderate/High,45.23,class = 0
498,864349,665597,C1CCCN(CC1)C2=NC(=NC3=CC=CC=C32)C4=CC=CC=N4,Active,45,,,Moderate/High,>45,class = 0
499,4257056,1259573,COC1=C(C=C(C=C1)CCN2C(=CC(=O)NC2=S)N)OC,Active,45,,,Moderate/High,>45,class = 0
500,26666894,322878,C1=CNC(=O)C(=C1)OC(=O)C2=CC(=CC(=C2)[N+](=O)[O-])[N+](=O)[O-],Active,45,,,Moderate/High,>45,class = 0
501,170465657,5702161,CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O.Br,Active,45,,,Moderate/High,>45,class = 0
502,162210970,2331284,CC1=CC(=C(N1C2=CC=CC=C2)C)C3=NN=C4N3CCCCC4,Active,45,,,Moderate/High,>45,class = 0
503,24383549,16007397,CC1=CC(=C(C=C1)OC)NC2=C3CCCC3=NC4=CC=CC=C42,Active,45,,,Moderate/High,>45,class = 0
504,24401491,16023100,CC1=CC(=CC=C1)N(C)C2=NC3=CC=CC=C3C4=NN=C(N42)C,Active,45,,,Moderate/High,>45,class = 0
505,384568228,444732,C[C@H](/C=C(\C)/C=C/C(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C,Active,45,,,Moderate/High,>45,class = 0
506,87677806,44143946,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=C(C=C3)F,Active,45,,,Moderate/High,>45,class = 0
507,99367892,46907693,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC(=CC=C3)F,Active,45,,,Moderate/High,>45,class = 0
508,87677817,44144352,CC1=C(C(=NO1)C)C2=CSC(=N2)N3CCC(CC3)C(=O)N,Active,45,,,Moderate/High,>45,class = 0
509,87677820,44144360,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC(=CC=C3)N,Active,45,,,Moderate/High,>45,class = 0
510,99367910,46907701,CC1=CC(=CC=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,Active,45,,,Moderate/High,>45,class = 0
511,99367927,46907727,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=C(C=C3)N,Active,45,,,Moderate/High,>45,class = 0
512,384568456,10127622,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO,Active,45,,,Moderate/High,>45,class = 0
513,162211015,49705773,C1CCN(CC1)C(=O)C2=CC3=C(C=C2)N(C=N3)C4=CC=CC=C4,Active,45,,,Moderate/High,>45,class = 0
514,162211008,71307876,CCN(CC)C(=O)C1=CC2=C(C=C1)N(C=N2)C3=CC=CC(=C3)C,Active,45,,,Moderate/High,>45,class = 0
515,172113104,69304814,C1=CC=C2C(=C1)/C(=C/C3=CC(=C(C(=C3)Cl)O)Cl)/C(=O)N2,Active,45,,,Moderate/High,>45,class = 0
516,172113105,72710616,C1=CC=C2C(=C1)C(C(=O)N2)CC3=CC(=C(C(=C3)Cl)O)Cl,Active,45,,,Moderate/High,>45,class = 0
517,363678018,9901086,C1CN(CCN1)C2=CN=CC(=N2)OCC3=CC(=CC=C3)Cl,Active,45,,,Moderate/High,>45,class = 0
518,89650096,44142148,CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC(=CC=C4)S(=O)(=O)C,Active,45,,,Moderate/High,44.83,class = 0
519,50112901,11224758,CSC1=CC=CC=C1N2CCN(CC2)CCCCCC(=O)NC3CCCC4=CC=CC=C34,Active,45,,,Moderate/High,44.72,class = 0
520,50125355,24871224,CC[C@H]1CN2CCC3CC(C(CC3[C@@H]2C[C@@H]1C[C@@H]4C5=C(CCN4)CC(=C(C5)OC)O)OC)OC,Active,45,,,Moderate/High,44.56,class = 0
521,104224733,49853027,C1CCC(CC1)C(=O)NCCC2=NC3=CC=CC=C3N2CCOC4=CC=CC=C4N,Active,44,,,Moderate/High,44.49,class = 0
522,99367963,46907738,C1COC2=C(C=C(C=C2)C3=NC(=NC=C3)N4CCC(CC4)C(=O)N)OC1,Active,44,,,Moderate/High,44.22,class = 0
523,4238077,3233188,CC1=CN=C(C=N1)CNC2=NC(=NC3=CC=CC=C32)C4=CC(=CC=C4)NS(=O)(=O)C,Active,44,,,Moderate/High,44.05,class = 0
524,49717473,4207389,CC1=CC=C(C=C1)CSCC2=CC=C(O2)C(=O)NC3CC3,Active,44,,,Moderate/High,>44,class = 0
525,144214038,41368,CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)Cl)O,Active,44,,,Moderate/High,>44,class = 0
526,24391622,930080,CC1=CC(=O)N2C(=N1)N=C(N2)NC(=O)C3=CC=CC=C3OC,Active,44,,,Moderate/High,>44,class = 0
527,24401972,16023573,CC1=NOC2=NC=NC(=C12)NCC3=C(C=CC(=C3)OC)OC,Active,44,,,Moderate/High,>44,class = 0
528,384568317,2161,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,Active,44,,,Moderate/High,>44,class = 0
529,363677139,25169382,C1C(CN1)NC2=CC=CC(=N2)C3=CN=C4N3C=C(C=C4)Cl,Active,44,,,Moderate/High,>44,class = 0
530,124952959,2797796,C1CCN(CC1)CCC(C2=CC=C(C=C2)C3=CC=CC=C3)O,Active,44,,,Moderate/High,>44,class = 0
531,161003876,67183,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC2=NC=CS2,Active,44,,,Moderate/High,>44,class = 0
532,375824055,134798001,CC1=CC=CC=C1C(=O)N2CCC(CC2)C(=O)N3CCC(CC3)N4CC5=CC=CC=C5C4=O,Active,44,,,Moderate/High,>44,class = 0
533,387065810,53239854,CC1=C(N(C2=C1C=C(C=C2)C(=O)N[C@@H](C)C3=CC=C(C=C3)[N+](=O)[O-])CC4=CC=C(C=C4)C5=CC=CC=C5C(=O)O)C,Active,44,,,Moderate/High,43.99,class = 0
534,161004703,70789739,CCOC1=C(C=C(C=C1)CCNC(=O)C2=CC3=C(N2CC4=CC=CC(=N4)C)N=CC=C3)OCC,Active,44,,,Moderate/High,43.76,class = 0
535,375886500,134806968,C1CN(CC2=CN=C(C=C2N1)NC3=CC=CC=C3)CC4=CNC5=CC=CC=C54,Active,44,,,Moderate/High,43.69,class = 0
536,99367902,46907751,C1CCN(CC1)C2=NC=C(C=C2)C3=CSC(=N3)N4CCC(CC4)C(=O)N,Active,43,,,Moderate/High,43.45,class = 0
537,164755745,71771068,CCN1C(=C(C(=C1C(=O)NC2=CC(=CC=C2)[S+](=O)(N(C)C)[O-])C)C(=O)C)C,Active,43,,,Moderate/High,43.36,class = 0
538,162210975,71307838,CC1=CC(=C(N1C2=CC=C(C=C2)C(F)(F)F)C)C3=NN=C4N3CCCCC4,Active,43,,,Moderate/High,43.33,class = 0
539,99460841,46947872,CCOC(=O)C1CCN(CC1)C(=O)C2(CCC2)NC(=O)NC3=CC=CC=C3Cl,Active,43,,,Moderate/High,43.21,class = 0
540,89449681,44820665,C1CN(CCN1)C2=CC(=O)N3C(=N2)SC(=N3)C4=CC(=CC=C4)NC(=O)CN,Active,43,,,Moderate/High,43.2,class = 0
541,161004158,70789395,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=C(C=C4)N,Active,43,,,Moderate/High,43.19,class = 0
542,225144195,126280,CN[C@@H]1C[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,Active,43,,,Moderate/High,>43,class = 0
543,384568189,374536,C1=C(SC(=C1)C2=CC=C(O2)C3=CC=C(S3)CO)CO,Active,43,,,Moderate/High,>43,class = 0
544,87677814,44144356,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CN=CC=C3,Active,43,,,Moderate/High,>43,class = 0
545,87677832,44144350,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=CS3,Active,43,,,Moderate/High,>43,class = 0
546,104224257,11551001,CC1=CSC2=C1C(=O)N(C(=O)N2CC3=CC=CC=C3)O,Active,43,,,Moderate/High,>43,class = 0
547,377660839,20919964,CCN1CCN(CC1)C(=O)CCCN2C(=O)C3=NN(C(=C3C(=N2)C)C)C4=CC=C(C=C4)C,Active,43,,,Moderate/High,>43,class = 0
548,162010114,710951,C1COCCN1C2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4,Active,43,,,Moderate/High,>43,class = 0
549,363680860,64393976,C1=CC(=CC=C1CC(=O)NC2=C(C=CN=C2)C(=O)O)Cl,Active,43,,,Moderate/High,>43,class = 0
550,375860622,71826352,COC1=CC2=C(C=C1)N(C=C2)CCC(=O)NC3=CC4=C(C=C3)NC(=O)[C@@H]5CCCN5C4=O,Active,43,,,Moderate/High,>43,class = 0
551,375879261,56886853,C1CN(CCN(C1)C2=CC=C(C=C2)F)CC3[C@H]4[C@@H]3CNC4,Active,43,,,Moderate/High,>43,class = 0
552,375866622,136326488,CC(C)CC(C)NC(=O)C1=NOC(=N1)C2=CC=CNC2=O,Active,43,,,Moderate/High,>43,class = 0
553,363681129,119081409,CC(C)C1=CC(=NN1)C(=O)N2CC[C@H](C2)NC(=O)C3CC3,Active,43,,,Moderate/High,>43,class = 0
554,375824113,134798709,C1CN(CCC1C(=O)N2CCC(CC2)N3CC4=CC=CC=C4C3=O)C(=O)C5=CC=CC=C5,Active,43,,,Moderate/High,>43,class = 0
555,375885182,134805651,C1CN(CC2=CN=C(C=C2N1)NC3=CC=CC=C3)CC4=CC=CS4,Active,43,,,Moderate/High,42.81,class = 0
556,160844064,70701435,CC1=CSC(=N1)NS(=O)(=O)C2=CC=C(C=C2)NCC3=C(C(=CC=C3)OC)O,Active,43,,,Moderate/High,42.72,class = 0
557,161004135,70789408,COC1=CC=CC=C1S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C4=CC=CC=C4,Active,43,,,Moderate/High,42.64,class = 0
558,99367981,46907704,CN(C)C1=CC=CC(=C1)C2=NC(=NC=C2F)N3CCC(CC3)C(=O)N,Active,43,,,Moderate/High,42.59,class = 0
559,377675920,50801997,CN1C2=C(C=C(C=C2)S(=O)(=O)N(C)C)C=C1C(=O)NCCCOC,Active,43,,,Moderate/High,42.57,class = 0
560,170466119,219050,C1CN(CC=C1C2=CC=CC=C2)CCCCC3=CNC4=C3C=C(C=C4)O,Active,42,,,Moderate/High,42.41,class = 0
561,144116975,60167846,C1CN(CC1CNC2=NC(=NC=C2F)C3=CC=CC=C3C(F)F)C4=NC=CN=C4,Active,42,,,Moderate/High,42.21,class = 0
562,375808060,71693092,CC1=C[C@H]([C@@H](C[C@H]1CC2=NC3=C(N2)C=CC(=N3)OC)C(C)C)CNCC4=CC=CC=C4O,Active,42,,,Moderate/High,42.09,class = 0
563,375801701,40780411,CC1=C(C(=NN1C2=CC=C(C=C2)OC)C)[C@H]3C[C@@H](C=C3)NCC4=CC=C(C=C4)F,Active,42,,,Moderate/High,42.02,class = 0
564,26751954,10002736,C1CC1CN2CC[C@]34[C@@H]5C(=O)/C(=C\C6=CC=CC=C6)/C[C@]3(C2CC7=C4C(=C(C=C7)O)O5)O,Active,42,,,Moderate/High,>42,class = 0
565,4258925,763700,CCOC1=CC=C(C=C1)CNC2=CC3=C(C=C2)N(C=N3)C,Active,42,,,Moderate/High,>42,class = 0
566,24391620,930029,CC1=CC=C(C=C1)C(=O)NC2=NC3=NC(=CC(=O)N3N2)C,Active,42,,,Moderate/High,>42,class = 0
567,99367899,4084597,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=CC=C3,Active,42,,,Moderate/High,>42,class = 0
568,144206868,27901,CN1CCC(CC1)N(CC2=CC=CS2)C3=CC=CC=C3,Active,42,,,Moderate/High,>42,class = 0
569,99367923,46907712,C1CN(CCC1C(=O)N)C2=NC=C(C=N2)Br,Active,42,,,Moderate/High,>42,class = 0
570,162210969,71307836,CC(C)(C)N1C=NC2=C1C=CC(=C2)C(=O)N3CCCCC3,Active,42,,,Moderate/High,>42,class = 0
571,377712953,42654957,C1C(C2=C(NC1=O)N=C(S2)N)C3=CC(=C(C=C3)F)F,Active,42,,,Moderate/High,>42,class = 0
572,384568813,50515,CN(C)CCN1C(=O)C2=CC=CC3=CC(=CC(=C32)C1=O)N,Active,42,,,Moderate/High,>42,class = 0
573,375888602,134809070,CN1CCN(CC1)C(=O)CC2=CNC3=C2C=C(C=N3)C4=CC=CC=C4OC5=CC=CC=C5,Active,42,,,Moderate/High,>42,class = 0
574,375881590,70777500,CN(C)C1CCN(C1)CC2=C(N=C3C=C(C(=CC3=C2)OC)OC)C4=CC(=CC=C4)Cl,Active,42,,,Moderate/High,>42,class = 0
575,4239532,3234639,CC1=CN=C(C=N1)CNC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4Cl,Active,42,,,Moderate/High,41.9,class = 0
576,99381584,3230466,CCOC(=O)C1CCN(CC1)C(=O)C2(CCCCC2)NC(=O)NC3=C(C=C(C=C3)F)F,Active,42,,,Moderate/High,41.83,class = 0
577,99460842,46947849,CCOC(=O)C1CCN(CC1)C(=O)C2(CCCC2)NC(=O)NC3=CC=CC=C3Cl,Active,42,,,Moderate/High,41.75,class = 0
578,384568664,11667893,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C,Active,42,,,Moderate/High,41.75,class = 0
579,99367948,46907658,CC(C)OC1=CC=CC(=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,Active,42,,,Moderate/High,41.73,class = 0
580,377682336,135656053,C1C(C2=C(NN=C2NC1=O)NC3=CC=CC=C3)C4=CC=C(C=C4)OCC(=O)N,Active,42,,,Moderate/High,41.69,class = 0
581,144116993,60167828,CC1=CN=C(N=C1NCC2=CC=C(C=C2)N3C=CN=N3)C4=CC=CC=C4OC(C)C,Active,41,,,Moderate/High,41.39,class = 0
582,164755706,71771108,CC1=C(C(=CC=C1)C)C(=O)NC2=CC(=CC=C2)[S+](=O)(N(C)C)[O-],Active,41,,,Moderate/High,41.35,class = 0
583,49817601,24816857,COC1=CC=C(C=C1)NC2CCCN(C2)C(=O)CCC3=CC=CC=C3F,Active,41,,,Moderate/High,41.27,class = 0
584,162211013,71307821,CC1=CC(=CC=C1)N2C=NC3=C2C=CC(=C3)C(=O)N4CCCCCC4,Active,41,,,Moderate/High,41.2,class = 0
585,387059813,72551585,CCCC1=C(C(=O)NC(=C1)C)CNC(=O)C2=C3C=NN(C3=CC(=C2)C4=CN=C(C=C4)N5CCN(CC5)C(C)C)C(C)C,Active,41,,,Moderate/High,41.06,class = 0
586,124878325,284708,C1=CNC(=C1)C(=O)C2=C(C=CC(=C2)Cl)NC(=O)CN,Active,41,,,Moderate/High,>41,class = 0
587,363676531,2396,CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54,Active,41,,,Moderate/High,>41,class = 0
588,3713333,804919,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)CCC(=O)O,Active,41,,,Moderate/High,>41,class = 0
589,375834963,91911825,COC1=NC(=C(C=C1)C(=O)NC2CCN(CC2)C3=CC(=O)N(N=C3)CC4CC4)OC,Active,41,,,Moderate/High,>41,class = 0
590,384569280,78426698,CC(C)C1=C(N=C2C(=CNN2C1=O)C#N)C3=CC=CC=C3,Active,41,,,Moderate/High,>41,class = 0
591,144116910,60167932,CC(C)C1=CC=CC=C1C2=NC3=C(CNC3)C(=N2)NCC4=CC=C(C=C4)C5=CN=CC=C5,Active,41,,,Moderate/High,40.87,class = 0
592,124877225,24867565,C[C@@H]1C[C@@H](C(NC1)[C@H](C)C2=C(C3=C(C=C2)[C@@H]4CC=C5C[C@H](CC[C@@]5([C@@H]4C3)C)O)C)O,Active,41,,,Moderate/High,40.85,class = 0
593,110167682,50898225,C1CC(C2=C(C1)N(N=C2)C3=CC=C(C=C3)O)NC(=O)C4=CC=CC=N4,Active,41,,,Moderate/High,40.81,class = 0
594,375813456,134788378,C1=CC(=CN=C1)C2=C3C=NC=CN3C(=N2)C(=O)NCC4=CC=NC=C4,Active,41,,,Moderate/High,40.81,class = 0
595,375890183,134810650,CNC(=O)C1CCN(CC1)C(=O)C2=CC=C(C=C2)C3=NC=C4N3C=C(N=C4)C5=CC=CC=C5,Active,41,,,Moderate/High,40.76,class = 0
596,24404058,16025620,CC1=C(C=C(C=C1)C2=CC(=NO2)C)S(=O)(=O)NCC3CCN(CC3)CC4=CC=C(C=C4)F,Active,41,,,Moderate/High,40.5,class = 0
597,161003993,70789555,CC[S+](=O)(NC1=CC=CC=C1C(=O)NC2=NC(=CS2)C3=CC=CC=C3)[O-],Active,40,,,Moderate/High,40.45,class = 0
598,24269080,1252602,CCCN1C=NC2=C1C=CC(=C2)NCC3=C(C=C(C=C3)OC)OC,Active,40,,,Moderate/High,40.34,class = 0
599,164755777,71771067,CCC1=C(C=C(C=C1)NC(=O)C2=C(C(=C(N2)C)C(=O)C)C)[S+](=O)(NC3=CC=CC=C3C#N)[O-],Active,40,,,Moderate/High,40.32,class = 0
600,375889120,134809587,CC1=CC(=C(C(=O)N1)CNC(=O)C2=C3C=CN(C3=CC(=N2)C4=CC=C(C=C4)CN(C)C)C(C)C)C,Active,40,,,Moderate/High,40.29,class = 0
601,856199,657574,CC1=CC(=NC(=N1)N2C(=CC(=N2)C)C)N3CCN(CC3)C4=CC=CC=C4,Active,40,,,Moderate/High,40.02,class = 0
602,110167707,50898243,C1CC(C2=C(C1)N(N=C2)C3=CC(=CC=C3)O)NC(=O)C4=CC=CC=N4,Active,40,,,Moderate/High,40.01,class = 0
603,4261513,2979657,CC1CC2=NC(=NC(=C2C(=O)C1)C)NCC3=CC=CO3,Active,40,,,Moderate/High,>40,class = 0
604,109967250,457993,CCCCCCC.CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CN3,Active,40,,,Moderate/High,>40,class = 0
605,160844131,70701453,COC1=C(N=C(O1)C2=CC=CC3=CC=CC=C32)C(=O)O,Active,40,,,Moderate/High,>40,class = 0
606,384568696,2746,CC(=O)NC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2N,Active,40,,,Moderate/High,>40,class = 0
607,377707745,3604519,CC1=C2C(=CC=C1)C(=CC(=N2)C3=CC=CS3)C(=O)O,Active,40,,,Moderate/High,>40,class = 0
608,172113112,72710615,C1=CC=C2C(=C1)/C(=C\C3=CC(=C(C(=C3)F)O)F)/C(=O)N2,Active,40,,,Moderate/High,>40,class = 0
609,375871810,56715543,C1CC(CN(C1)C2=NC(=NC3=C2CCC3)C4=CC=CC=C4)C(=O)N5CCC(CC5)N,Active,40,,,Moderate/High,>40,class = 0
610,24788254,2951020,COC1=C(C(=CC(=C1)CNCCO)Cl)OCC2=C(C=C(C=C2)Cl)Cl.Cl,Active,40,,,Moderate/High,39.97,class = 0
611,161004146,70789536,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=CC5=C4N=CC=C5,Active,40,,,Moderate/High,39.8,class = 0
612,124949023,45166656,CC(COC)NCC1=C(N=C2C=C(C=CC2=C1)OC)N3CCN(CC3)C4=CC=C(C=C4)F,Active,40,,,Moderate/High,39.51,class = 0
613,363680580,11853799,CC1=C(C=CC(=C1)F)C2=C3C=CC(=O)N(C3=NC(=N2)NCCN=C(N)NC#N)C4=C(C=CC=C4F)F,Active,39,,,Moderate/High,39.48,class = 0
614,375819053,137299536,CC1=CC=C(C=C1)C(=O)N2CCCC(C2)C3=NN(C(=O)N3)C4=CC=C(C=C4)OC,Active,39,,,Moderate/High,39.37,class = 0
615,363678031,10429706,CC1=CN2C(=C(C=C(C2=N1)C(=O)NCC3CCN(CC3)CC(C)C)Cl)N,Active,39,,,Moderate/High,39.25,class = 0
616,99367934,46907720,CN(C)C1=CC=CC(=C1)C2=NC(=NC=C2)N3CCC(CC3)C(=O)N,Active,39,,,Moderate/High,39.12,class = 0
617,377020432,49878590,CCOC(=O)N1CCN(CC1)C(=O)CN2C(=O)C3=C(S2)N=C(C=C3C)C,Active,39,,,Moderate/High,39.04,class = 0
618,174315288,73330286,CC1=C(NC(=C1C(=O)C)C)C(=O)NC2=CC(=C(C=C2)OCCCN(C)C)[S+](=O)(NC3=CC=C(C=C3)Br)[O-],Active,39,,,Moderate/High,39.03,class = 0
